Partlist exported from /home/ensab/workspace/mendel/electronics/stepper-motor-driver/stepper-motor-driver.sch at 07/12/2009 23:59

Part;Value;Device;Package;Description;                              
C1;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                
C2;1nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;                
C3;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                
C4;220nF;C-EUC1206;C1206;CAPACITOR, European symbol;                
C5;220nF;C-EUC1206;C1206;CAPACITOR, European symbol;                
C6;100nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;              
C7;220nF;C-EUC1206;C1206;CAPACITOR, European symbol;                
C8;100nF;C-EUC1206K;C1206K;CAPACITOR, European symbol;              
C9;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;                
C10;100uF;CPOL-USE3.5-8;E3,5-8;POLARIZED CAPACITOR, American symbol;
C11;100uF;CPOL-USE3.5-8;E3,5-8;POLARIZED CAPACITOR, American symbol;
C12;100nF;C-EUC1206;C1206;CAPACITOR, European symbol;               
C13;1nF;C-EUC1206;C1206;CAPACITOR, European symbol;                 
C14;1nF;C-EUC1206;C1206;CAPACITOR, European symbol;                 
IC1;A3977;A3977;PLCC44;MICROSTEPPING DMOS DRIVER WITH TRANSLATOR;   
IC3;7805L;7805L;TO92;Positive VOLTAGE REGULATOR;                    
LED1;;LEDCHIPLED_1206;CHIPLED_1206;LED;                             
LED2;A;LEDCHIPLED_1206;CHIPLED_1206;LED;                            
LED3;B;LEDCHIPLED_1206;CHIPLED_1206;LED;                            
LED4;C;LEDCHIPLED_1206;CHIPLED_1206;LED;                            
LED5;D;LEDCHIPLED_1206;CHIPLED_1206;LED;                            
MAX;C-GRID-04-70543;C-GRID-04-70543;70543-04;CONNECTOR;             
MIN;C-GRID-04-70543;C-GRID-04-70543;70543-04;CONNECTOR;             
POWER;9090-4V;9090-4V;9090-4V;Disk Drive Power four position;       
R1;10K;TRIM_US-B25P;B25P;POTENTIOMETER;                             
R2;1K;R-US_R1206;R1206;RESISTOR, American symbol;                   
R3;0.25;R-US_R2512;R2512;RESISTOR, American symbol;                 
R4;1K;R-US_R1206;R1206;RESISTOR, American symbol;                   
R5;1K;R-US_R1206;R1206;RESISTOR, American symbol;                   
R6;2.2K;R-US_R1206;R1206;RESISTOR, American symbol;                 
R7;1K;R-US_R1206;R1206;RESISTOR, American symbol;                   
R8;1K;R-US_R1206;R1206;RESISTOR, American symbol;                   
R9;1K;R-US_R1206;R1206;RESISTOR, American symbol;                   
R10;1K;R-US_R1206;R1206;RESISTOR, American symbol;                  
R11;33K;R-US_R1206;R1206;RESISTOR, American symbol;                 
R12;33K;R-US_R1206;R1206;RESISTOR, American symbol;                 
R13;10K;R-US_R1206;R1206;RESISTOR, American symbol;                 
R14;1K;R-US_R1206;R1206;RESISTOR, American symbol;                  
R16;0.25;R-US_R2512;R2512;RESISTOR, American symbol;                
R17;1K;R-US_R1206;R1206;RESISTOR, American symbol;                  
SV1;;ML10;ML10;HARTING;                                             
X1;;KK-156-4;KK-156-4;KK 156 HEADER;                                
